#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 04 21 45 999 99.0 99.0  2.33 10.53  6.87  90 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 22 15 999 99.0 99.0  2.45 10.53  7.06  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 22 45 999 99.0 99.0  2.22 10.53  6.77  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 23 15 999 99.0 99.0  2.45 10.53  6.76  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 04 23 45 999 99.0 99.0  2.22 11.11  6.37  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 00 15 999 99.0 99.0  2.45 10.53  6.90  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 00 45 999 99.0 99.0  2.37 11.11  6.67 101 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 01 15 999 99.0 99.0  2.44 11.11  6.84  91 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 01 45 999 99.0 99.0  2.57 11.11  6.75  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 02 15 999 99.0 99.0  2.63 10.53  6.65  94 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 02 45 999 99.0 99.0  2.53 10.53  6.50 102 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 03 15 999 99.0 99.0  2.56 10.53  6.57  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 03 45 999 99.0 99.0  2.57 10.53  6.62  95 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 04 15 999 99.0 99.0  2.78 11.11  6.62  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 04 45 999 99.0 99.0  2.71  9.88  6.66  81 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 05 15 999 99.0 99.0  2.87 11.11  6.78  99 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 05 45 999 99.0 99.0  2.84 10.53  6.62  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 06 15 999 99.0 99.0  2.76 10.53  6.66  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 06 45 999 99.0 99.0  2.84 10.53  6.88  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 07 15 999 99.0 99.0  2.86  9.09  6.76  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 07 45 999 99.0 99.0  2.94 10.53  6.79  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 08 15 999 99.0 99.0  2.75 11.11  6.56  85 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 08 45 999 99.0 99.0  3.07 10.53  6.97  83 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 09 15 999 99.0 99.0  2.66  9.09  6.37  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 09 45 999 99.0 99.0  2.68 10.53  6.42  90 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 10 15 999 99.0 99.0  2.77 10.53  6.60  88 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 10 45 999 99.0 99.0  2.82 10.53  6.63  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 11 15 999 99.0 99.0  2.67  8.33  6.53  87 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 11 45 999 99.0 99.0  2.76 10.53  6.78  98 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 12 15 999 99.0 99.0  2.79  9.09  6.77  94 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 12 45 999 99.0 99.0  2.68 10.53  6.63  92 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 13 15 999 99.0 99.0  2.61  7.14  6.48  84 9999.0 999.0  28.6 999.0 99.0 99.00
2013 01 05 13 45 999 99.0 99.0  2.70  9.88  6.76  90 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 05 14 15 999 99.0 99.0  2.65  8.33  6.73  88 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 05 14 45 999 99.0 99.0  2.61 10.53  6.66  94 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 05 15 15 999 99.0 99.0  2.79 10.53  6.80  85 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 05 15 45 999 99.0 99.0  2.46  7.69  6.53  91 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 05 16 15 999 99.0 99.0  2.57 10.53  6.80  81 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 05 16 45 999 99.0 99.0  2.71  9.09  7.12  91 9999.0 999.0  28.5 999.0 99.0 99.00
